gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,productivity,final_result
1,3,85.0,2,0,60,0,338.9987677620764,1
0,1,65.0,0,0,60,0,181.15598080484241,1
0,2,65.0,1,0,60,0,266.76928176441487,1
1,1,45.0,1,0,60,0,193.06771588565928,1
0,2,45.0,0,0,60,0,311.0420978827927,1
1,3,35.0,1,0,60,0,170.11177710059613,1
0,1,5.0,1,0,120,0,276.88111817880167,1
0,2,65.0,0,0,60,0,245.0117969907044,1
1,3,95.0,2,0,60,0,372.0144877394629,1
0,2,75.0,0,0,120,0,250.25527154918103,1
0,2,15.0,0,0,60,0,191.10586222625068,1
1,2,85.0,1,0,60,0,220.71278203460042,1
0,2,75.0,0,1,60,0,362.39222535810563,0
0,3,45.0,0,0,60,0,260.7998178041431,1
1,2,45.0,0,0,120,0,248.39585506702568,1
1,1,85.0,1,0,60,0,280.56657330143815,0
0,1,35.0,0,0,60,0,218.07328914386497,1
1,2,55.0,1,0,60,0,167.64068333636638,1
1,1,85.0,1,0,60,0,252.43844270124808,1
1,1,15.0,1,0,60,0,299.08949495526366,0
1,1,75.0,1,1,60,0,225.92347955049902,1
1,1,95.0,0,0,60,0,118.04409006426418,0
0,1,65.0,1,0,60,0,210.99155149958614,1
0,3,25.0,0,0,60,0,231.53637746345086,1
1,3,85.0,2,0,60,0,298.4754094556158,1
0,3,95.0,0,0,60,0,261.251171700996,1
1,2,45.0,0,0,60,0,46.55531240251597,0
0,2,45.0,1,0,60,0,267.334443958361,1
0,2,65.0,1,0,60,0,279.7757406470164,0
0,2,45.0,1,1,60,0,345.71876326621316,1
0,2,65.0,0,0,120,0,234.10940261908226,1
1,3,75.0,1,0,60,0,257.7459811369261,1
1,2,55.0,0,1,60,0,153.2448382846991,0
0,2,65.0,1,0,60,0,246.33372770756375,1
0,2,75.0,1,0,60,0,307.88680942415647,1
1,2,15.0,0,0,60,0,222.45940542766726,1
1,2,95.0,1,0,60,0,228.13844575127524,1
0,2,75.0,1,0,60,0,333.0153237410695,1
1,1,5.0,0,0,60,0,207.05751342549183,1
0,1,25.0,0,1,120,0,28.3067655637373,0
0,1,95.0,1,1,60,1,268.09735321477865,1
1,1,95.0,1,0,60,0,280.96020960057183,1
1,2,95.0,1,0,60,0,193.3042006311309,0
1,2,95.0,0,1,210,0,232.42344583731727,1
1,2,25.0,1,0,60,0,123.385762429638,0
1,1,35.0,1,0,120,1,148.85929392468498,1
1,1,65.0,0,1,120,0,273.1070208640451,1
0,2,35.0,1,1,60,1,215.54032136046945,1
0,2,25.0,1,0,60,0,342.18290160643494,1
1,2,65.0,0,0,60,0,134.41293723982142,1
0,2,5.0,0,0,120,0,170.51430532199404,0
0,1,95.0,0,0,60,0,76.24899678311995,0
0,1,75.0,0,1,120,0,233.15569101164792,1
0,2,85.0,0,0,60,0,276.7427308430354,0
1,2,45.0,1,1,60,0,169.64878051009276,0
0,2,45.0,0,0,60,1,174.0249180928057,1
0,2,35.0,0,0,60,0,104.54702906189968,0
1,3,75.0,2,0,60,0,269.13182539326215,1
1,2,15.0,1,0,60,0,354.71915810026223,1
0,1,35.0,1,0,60,1,369.33210694495614,1
0,2,75.0,1,0,60,0,423.6895541065495,1
1,2,55.0,1,0,60,0,248.06863451180595,1
0,3,95.0,1,0,270,0,133.86741884399143,0
1,1,95.0,0,0,60,0,303.79418127813807,1
1,1,15.0,1,0,60,0,221.26142146338782,0
1,2,75.0,1,1,60,0,212.25156602354463,1
1,2,35.0,1,0,60,0,310.47631415571215,1
1,3,15.0,1,0,60,0,233.52166700289303,1
1,2,95.0,0,0,60,0,226.9884713647245,1
1,3,35.0,1,0,60,0,364.21731988473664,1
1,2,45.0,1,0,60,0,260.6777751284463,1
1,3,55.0,0,0,60,0,352.8272104992015,1
1,1,55.0,1,0,60,0,340.11682320217426,1
0,1,35.0,1,0,60,0,297.0569511714645,1
1,2,95.0,0,1,180,0,186.15029070017604,1
1,2,45.0,0,0,60,0,130.45381281174636,1
1,2,15.0,0,0,60,0,190.3084083184499,1
0,1,65.0,0,0,60,0,228.28671426819062,0
0,2,65.0,0,0,60,0,277.0204962354429,1
0,2,45.0,0,0,60,0,313.73193004845456,1
0,2,35.0,1,0,120,0,182.39544927969828,1
1,2,25.0,1,0,60,0,268.9871754230657,1
1,2,15.0,1,0,60,0,444.87920251733993,1
1,1,45.0,0,0,60,0,226.7277471179352,1
1,2,45.0,1,0,60,0,333.2746554137252,1
1,1,95.0,1,0,60,0,183.34180227117574,1
0,2,35.0,0,0,240,0,171.2705556568852,1
